NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
17;1;1;4:07.456;0;;3:13.503;0;21.823;0;32.130;0;34.2;4:07.456;12:34:07.456;3:13.503;0:21.823;0:32.130;;Gary PAFFETT;0:02:44.645;;4;HWA RACELAB;;250;
17;1;2;1:09.505;2;;23.041;2;16.972;2;29.492;2;121.6;5:16.961;12:35:16.961;0:23.041;0:16.972;0:29.492;;Gary PAFFETT;;;4;HWA RACELAB;;250;
17;1;3;1:16.038;0;;24.738;0;18.439;0;32.861;0;111.2;6:32.999;12:36:32.999;0:24.738;0:18.439;0:32.861;;Gary PAFFETT;;;4;HWA RACELAB;;;
19;1;1;1:43.051;0;;45.222;0;21.521;0;36.308;0;82.0;1:43.051;12:31:43.051;0:45.222;0:21.521;0:36.308;;Felipe MASSA;0:00:13.504;;4;Venturi Formula E Team;;250;
19;1;2;1:09.168;2;;23.011;2;17.084;2;29.073;2;122.2;2:52.219;12:32:52.219;0:23.011;0:17.084;0:29.073;;Felipe MASSA;;;4;Venturi Formula E Team;;250;
19;1;3;1:16.684;0;;24.657;0;19.003;0;33.024;0;110.2;4:08.903;12:34:08.903;0:24.657;0:19.003;0:33.024;;Felipe MASSA;;;4;Venturi Formula E Team;;250;
48;1;1;1:56.929;0;;57.342;0;23.240;0;36.347;0;72.3;1:56.929;12:31:56.929;0:57.342;0:23.240;0:36.347;;Edoardo MORTARA;0:00:26.112;;4;Venturi Formula E Team;;250;
48;1;2;1:09.042;2;;22.805;2;16.843;2;29.394;2;122.4;3:05.971;12:33:05.971;0:22.805;0:16.843;0:29.394;;Edoardo MORTARA;;;4;Venturi Formula E Team;;250;
48;1;3;1:22.809;0;;27.840;0;22.206;0;32.763;0;102.1;4:28.780;12:34:28.780;0:27.840;0:22.206;0:32.763;;Edoardo MORTARA;;;4;Venturi Formula E Team;;250;
5;1;1;2:28.237;0;;1:31.192;0;22.330;0;34.715;0;57.0;2:28.237;12:32:28.237;1:31.192;0:22.330;0:34.715;;Stoffel VANDOORNE;0:01:00.483;;4;HWA RACELAB;;250;
5;1;2;1:08.962;2;;22.924;2;16.822;2;29.216;2;122.6;3:37.199;12:33:37.199;0:22.924;0:16.822;0:29.216;;Stoffel VANDOORNE;;;4;HWA RACELAB;;250;
5;1;3;1:13.217;0;;23.967;0;18.243;0;31.007;0;115.4;4:50.416;12:34:50.416;0:23.967;0:18.243;0:31.007;;Stoffel VANDOORNE;;;4;HWA RACELAB;;250;
8;1;1;2:05.824;0;;1:12.590;0;19.882;0;33.352;0;67.2;2:05.824;12:32:05.824;1:12.590;0:19.882;0:33.352;;Tom DILLMANN;0:00:42.070;;4;NIO Formula E Team;;;
8;1;2;1:23.573;0;;26.296;0;23.302;0;33.975;0;101.1;3:29.397;12:33:29.397;0:26.296;0:23.302;0:33.975;;Tom DILLMANN;;;4;NIO Formula E Team;;250;
8;1;3;1:10.258;2;;23.546;2;17.165;2;29.547;2;120.3;4:39.655;12:34:39.655;0:23.546;0:17.165;0:29.547;;Tom DILLMANN;;;4;NIO Formula E Team;;250;
94;1;1;1:34.709;0;;43.096;0;19.263;0;32.350;0;89.3;1:34.709;12:31:34.709;0:43.096;0:19.263;0:32.350;;Pascal WEHRLEIN;0:00:12.207;;4;MAHINDRA RACING;;250;
94;1;2;1:08.463;4;;22.658;4;16.751;3;29.054;3;123.5;2:43.172;12:32:43.172;0:22.658;0:16.751;0:29.054;;Pascal WEHRLEIN;;;4;MAHINDRA RACING;;250;
94;1;3;1:13.830;0;;24.219;0;17.837;0;31.774;0;114.5;3:57.002;12:33:57.002;0:24.219;0:17.837;0:31.774;;Pascal WEHRLEIN;;;4;MAHINDRA RACING;;250;
