NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;4:48.281;0;;3:56.909;0;18.966;0;32.406;0;29.3;4:48.281;12:14:48.281;3:56.909;0:18.966;0:32.406;;Lucas DI GRASSI;0:03:30.987;;2;Audi Sport Abt Schaeffler Formula E Team;;250;
11;1;2;1:08.842;2;;23.130;2;16.753;2;28.959;4;122.8;5:57.123;12:15:57.123;0:23.130;0:16.753;0:28.959;;Lucas DI GRASSI;;;2;Audi Sport Abt Schaeffler Formula E Team;;250;
2;1;1;4:18.065;0;;3:21.977;0;21.370;0;34.718;0;32.8;4:18.065;12:14:18.065;3:21.977;0:21.370;0:34.718;;Sam BIRD;0:02:51.431;;2;Envision Virgin Racing;;;
2;1;2;1:23.800;0;;29.351;0;21.451;0;32.998;0;100.9;5:41.865;12:15:41.865;0:29.351;0:21.451;0:32.998;;Sam BIRD;;;2;Envision Virgin Racing;;250;
2;1;3;1:08.868;2;;22.865;4;16.630;2;29.373;2;122.7;6:50.733;12:16:50.733;0:22.865;0:16.630;0:29.373;;Sam BIRD;;;2;Envision Virgin Racing;;250;
20;1;1;5:09.813;0;;4:10.230;0;26.724;0;32.859;0;27.3;5:09.813;12:15:09.813;4:10.230;0:26.724;0:32.859;;Mitch EVANS;0:03:35.366;;2;Panasonic Jaguar Racing;;250;
20;1;2;1:09.235;2;;23.155;2;16.877;2;29.203;2;122.1;6:19.048;12:16:19.048;0:23.155;0:16.877;0:29.203;;Mitch EVANS;;;2;Panasonic Jaguar Racing;;250;
23;1;1;4:23.142;0;;3:28.229;0;19.562;0;35.351;0;32.1;4:23.142;12:14:23.142;3:28.229;0:19.562;0:35.351;;Sébastien BUEMI;0:02:55.907;;2;Nissan e.dams;;;
23;1;2;1:23.605;0;;28.606;0;20.071;0;34.928;0;101.1;5:46.747;12:15:46.747;0:28.606;0:20.071;0:34.928;;Sébastien BUEMI;;;2;Nissan e.dams;;250;
23;1;3;1:08.664;4;;23.037;2;16.627;4;29.000;2;123.1;6:55.411;12:16:55.411;0:23.037;0:16.627;0:29.000;;Sébastien BUEMI;;;2;Nissan e.dams;;250;
27;1;1;3:58.416;0;;3:00.838;0;23.123;0;34.455;0;35.5;3:58.416;12:13:58.416;3:00.838;0:23.123;0:34.455;;Alexander SIMS;0:02:28.386;;2;BMW i ANDRETTI MOTORSPORT;;;
27;1;2;1:21.108;0;;27.987;0;20.616;0;32.505;0;104.2;5:19.524;12:15:19.524;0:27.987;0:20.616;0:32.505;;Alexander SIMS;;;2;BMW i ANDRETTI MOTORSPORT;;250;
27;1;3;1:09.147;2;;23.051;2;16.681;2;29.415;2;122.2;6:28.671;12:16:28.671;0:23.051;0:16.681;0:29.415;;Alexander SIMS;;;2;BMW i ANDRETTI MOTORSPORT;;250;
