NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
25;1;1;5:39.649;0;;4:40.319;0;23.651;0;35.679;0;24.9;5:39.649;12:05:39.649;4:40.319;0:23.651;0:35.679;;Jean-Eric VERGNE;0:04:11.169;;1;DS TECHEETAH;;250;
25;1;2;1:09.307;4;;23.082;2;16.764;4;29.461;2;122.0;6:48.956;12:06:48.956;0:23.082;0:16.764;0:29.461;;Jean-Eric VERGNE;;;1;DS TECHEETAH;;250;
28;1;1;5:27.560;0;;4:32.805;0;23.020;0;31.735;0;25.8;5:27.560;12:05:27.560;4:32.805;0:23.020;0:31.735;;Antonio Felix DA COSTA;0:04:02.821;;1;BMW i ANDRETTI MOTORSPORT;;250;
28;1;2;1:09.551;2;;23.139;2;17.026;2;29.386;4;121.5;6:37.111;12:06:37.111;0:23.139;0:17.026;0:29.386;;Antonio Felix DA COSTA;;;1;BMW i ANDRETTI MOTORSPORT;;250;
36;1;1;5:17.160;0;;4:26.243;0;20.353;0;30.564;0;26.7;5:17.160;12:05:17.160;4:26.243;0:20.353;0:30.564;;André LOTTERER;0:03:56.784;;1;DS TECHEETAH;;250;
36;1;2;1:09.485;2;;23.094;2;16.944;2;29.447;2;121.6;6:26.645;12:06:26.645;0:23.094;0:16.944;0:29.447;;André LOTTERER;;;1;DS TECHEETAH;;250;
4;1;1;4:14.357;0;;3:15.963;0;21.275;0;37.119;0;33.2;4:14.357;12:04:14.357;3:15.963;0:21.275;0:37.119;;Robin FRIJNS;0:02:44.456;;1;Envision Virgin Racing;;;
4;1;2;1:21.288;0;;28.523;0;20.688;0;32.077;0;104.0;5:35.645;12:05:35.645;0:28.523;0:20.688;0:32.077;;Robin FRIJNS;;;1;Envision Virgin Racing;;250;
4;1;3;1:09.505;2;;23.053;4;16.914;2;29.538;2;121.6;6:45.150;12:06:45.150;0:23.053;0:16.914;0:29.538;;Robin FRIJNS;;;1;Envision Virgin Racing;;250;
64;1;1;4:34.264;0;;3:38.183;0;22.633;0;33.448;0;30.8;4:34.264;12:04:34.264;3:38.183;0:22.633;0:33.448;;Jérôme D'AMBROSIO;0:02:57.565;;1;MAHINDRA RACING;;250;
64;1;2;1:10.083;2;;23.780;2;16.902;2;29.401;2;120.6;5:44.347;12:05:44.347;0:23.780;0:16.902;0:29.401;;Jérôme D'AMBROSIO;;;1;MAHINDRA RACING;;250;
64;1;3;1:12.682;0;;24.254;0;18.233;0;30.195;0;116.3;6:57.029;12:06:57.029;0:24.254;0:18.233;0:30.195;;Jérôme D'AMBROSIO;;;1;MAHINDRA RACING;;250;
