TIME_UTC_SECONDS;TIME_UTC_STR;AIR_TEMP;TRACK_TEMP;HUMIDITY;PRESSURE;WIND_SPEED;WIND_DIRECTION;
1478952019;12/11/2016 12:00:19;18,7778;20,5556;67;962,415;0;64;
1478952079;12/11/2016 12:01:19;18,8333;21,1111;68;962,381;6,43738;67;
1478952139;12/11/2016 12:02:19;18,8889;21,1111;67;962,381;3,21869;22;
1478952199;12/11/2016 12:03:19;18,9444;21,1111;66;962,415;6,43738;62;
1478952259;12/11/2016 12:04:19;19,0556;21,1111;66;962,347;3,21869;69;
1478952319;12/11/2016 12:05:19;19,1111;21,1111;66;962,313;6,43738;14;
1478952379;12/11/2016 12:06:19;19,1111;21,6667;66;962,347;4,82803;19;
1478952439;12/11/2016 12:07:19;19,1667;21,6667;65;962,313;6,43738;347;
1478952499;12/11/2016 12:08:19;19,1667;21,6667;65;962,313;3,21869;26;
1478952559;12/11/2016 12:09:19;19,1667;21,6667;66;962,279;4,82803;30;
1478952619;12/11/2016 12:10:19;19,2778;22,2222;66;962,279;6,43738;26;
1478952680;12/11/2016 12:11:20;19,2778;22,2222;65;962,313;6,43738;13;
1478952740;12/11/2016 12:12:20;19,2778;22,2222;65;962,246;4,82803;331;
1478952800;12/11/2016 12:13:20;19,2778;22,2222;66;962,246;8,04672;17;
1478952860;12/11/2016 12:14:20;19,2778;22,2222;65;962,279;8,04672;49;
1478952920;12/11/2016 12:15:20;19,2778;22,2222;65;962,279;6,43738;32;
1478952980;12/11/2016 12:16:20;19,2778;22,2222;65;962,313;6,43738;11;
1478953040;12/11/2016 12:17:20;19,2778;22,7778;65;962,313;3,21869;82;
1478953100;12/11/2016 12:18:20;19,2778;22,7778;65;962,246;1,60934;82;
1478953160;12/11/2016 12:19:20;19,2778;22,7778;65;962,246;6,43738;57;
1478953220;12/11/2016 12:20:20;19,3333;22,7778;65;962,246;9,65606;53;
1478953280;12/11/2016 12:21:20;19,2778;23,3333;65;962,212;4,82803;26;
1478953340;12/11/2016 12:22:20;19,2778;23,3333;65;962,178;8,04672;15;
1478953400;12/11/2016 12:23:20;19,2778;23,3333;64;962,144;3,21869;18;
1478953460;12/11/2016 12:24:20;19,2778;23,3333;65;962,11;4,82803;9;
1478953520;12/11/2016 12:25:20;19,2778;23,3333;65;962,11;4,82803;70;
1478953580;12/11/2016 12:26:20;19,3333;23,3333;65;962,042;3,21869;62;
1478953640;12/11/2016 12:27:20;19,3333;23,3333;64;962,042;3,21869;67;
1478953700;12/11/2016 12:28:20;19,3889;23,8889;64;961,975;4,82803;74;
1478953760;12/11/2016 12:29:20;19,3889;23,8889;64;962,008;4,82803;65;
1478953820;12/11/2016 12:30:20;19,4444;23,8889;64;961,975;6,43738;45;
1478953880;12/11/2016 12:31:20;19,5;23,8889;64;962,008;9,65606;38;
1478953940;12/11/2016 12:32:20;19,5;23,8889;64;962,008;6,43738;53;
1478954000;12/11/2016 12:33:20;19,5;23,8889;65;961,941;4,82803;360;
1478954060;12/11/2016 12:34:20;19,5556;23,8889;64;961,941;0;360;
1478954120;12/11/2016 12:35:20;19,5556;23,8889;64;961,907;1,60934;360;
