NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;
21;0;8;2:27.798;0;;48.674;0;51.178;0;47.946;0;84.1;19:06.430;10:49;0:48.674;0:51.178;0:47.946;;Bruno Senna;;
21;0;9;2:24.544;0;;41.899;0;55.465;0;47.180;0;86.0;21:30.974;10:51;0:41.899;0:55.465;0:47.180;;Bruno Senna;;
21;0;10;1:42.164;0;;35.950;0;33.735;0;32.479;2;121.7;23:13.138;10:53;0:35.950;0:33.735;0:32.479;;Bruno Senna;;
21;0;11;2:34.168;0;;47.454;0;59.473;0;47.241;0;80.6;25:47.306;10:55;0:47.454;0:59.473;0:47.241;;Bruno Senna;;
23;0;1;2:49.687;0;;1:28.415;0;42.253;0;39.019;0;73.3;2:49.687;10:32;1:28.415;0:42.253;0:39.019;;Nick Heidfeld;0:00:46.485;
23;0;2;1:42.779;2;;36.169;2;33.468;2;33.142;2;120.9;4:32.466;10:34;0:36.169;0:33.468;0:33.142;;Nick Heidfeld;;
23;0;3;11:14.909;0;B;47.286;0;44.856;0;9:42.767;0;18.4;15:47.375;10:45;0:47.286;0:44.856;9:42.767;;Nick Heidfeld;;
23;0;4;2:19.022;0;;1:00.071;0;40.416;0;38.535;0;89.4;18:06.397;10:48;1:00.071;0:40.416;0:38.535;;Nick Heidfeld;0:09:32.891;
23;0;5;1:46.102;0;;37.314;0;34.636;0;34.152;0;117.2;19:52.499;10:49;0:37.314;0:34.636;0:34.152;;Nick Heidfeld;;
23;0;6;1:46.768;0;;37.713;0;34.833;0;34.222;0;116.4;21:39.267;10:51;0:37.713;0:34.833;0:34.222;;Nick Heidfeld;;
23;0;7;1:46.620;0;;37.689;0;34.673;0;34.258;0;116.6;23:25.887;10:53;0:37.689;0:34.673;0:34.258;;Nick Heidfeld;;
23;0;8;1:46.489;0;;37.656;0;34.661;0;34.172;0;116.7;25:12.376;10:55;0:37.656;0:34.661;0:34.172;;Nick Heidfeld;;
27;0;1;3:14.045;0;;2:01.130;0;36.028;0;36.887;0;64.1;3:14.045;10:33;2:01.130;0:36.028;0:36.887;;Franck Montagny;0:01:08.525;
27;0;2;1:48.899;0;;38.105;0;35.772;0;35.022;0;114.1;5:02.944;10:35;0:38.105;0:35.772;0:35.022;;Franck Montagny;;
27;0;3;1:49.028;0;;37.907;0;35.633;0;35.488;0;114.0;6:51.972;10:36;0:37.907;0:35.633;0:35.488;;Franck Montagny;;
27;0;4;1:52.993;0;;39.500;0;38.250;0;35.243;0;110.0;8:44.965;10:38;0:39.500;0:38.250;0:35.243;;Franck Montagny;;
27;0;5;7:10.662;0;B;38.616;0;33.078;2;5:58.968;0;28.9;15:55.627;10:45;0:38.616;0:33.078;5:58.968;;Franck Montagny;;
27;0;6;2:27.249;0;;1:00.995;0;43.067;0;43.187;0;84.4;18:22.876;10:48;1:00.995;0:43.067;0:43.187;;Franck Montagny;0:05:49.857;
27;0;7;1:41.845;2;;36.056;2;33.130;0;32.659;2;122.1;20:04.721;10:50;0:36.056;0:33.130;0:32.659;;Franck Montagny;;
28;0;1;2:39.330;0;;1:15.762;0;41.348;0;42.220;0;78.0;2:39.330;10:32;1:15.762;0:41.348;0:42.220;;Charles Pic;0:00:36.984;
28;0;2;1:51.670;0;;39.194;0;36.672;0;35.804;0;111.3;4:31.000;10:34;0:39.194;0:36.672;0:35.804;;Charles Pic;;
28;0;3;1:50.818;0;;38.634;0;36.465;0;35.719;0;112.2;6:21.818;10:36;0:38.634;0:36.465;0:35.719;;Charles Pic;;
28;0;4;6:17.619;0;B;40.564;0;49.992;0;4:47.063;0;32.9;12:39.437;10:42;0:40.564;0:49.992;4:47.063;;Charles Pic;;
28;0;5;2:25.073;0;;1:02.231;0;42.071;0;40.771;0;85.7;15:04.510;10:45;1:02.231;0:42.071;0:40.771;;Charles Pic;0:04:31.803;
28;0;6;1:42.904;2;;36.518;2;33.631;2;32.755;2;120.8;16:47.414;10:46;0:36.518;0:33.631;0:32.755;;Charles Pic;;
28;0;7;6:40.679;0;B;43.074;0;39.341;0;5:18.264;0;31.0;23:28.093;10:53;0:43.074;0:39.341;5:18.264;;Charles Pic;;
28;0;8;2:24.312;0;;1:01.792;0;41.409;0;41.111;0;86.1;25:52.405;10:55;1:01.792;0:41.409;0:41.111;;Charles Pic;0:05:02.047;
3;0;1;3:01.948;0;;1:47.559;0;37.724;0;36.665;0;68.3;3:01.948;10:33;1:47.559;0:37.724;0:36.665;;Jaime Alguersuari;0:01:13.058;
3;0;2;6:11.527;0;B;40.211;0;37.090;0;4:54.226;0;33.5;9:13.475;10:39;0:40.211;0:37.090;4:54.226;;Jaime Alguersuari;;
3;0;3;3:17.194;0;;1:08.119;0;1:12.237;0;56.838;0;63.0;12:30.669;10:42;1:08.119;1:12.237;0:56.838;;Jaime Alguersuari;0:04:44.626;
3;0;4;1:43.918;0;;36.818;0;33.959;0;33.141;0;119.6;14:14.587;10:44;0:36.818;0:33.959;0:33.141;;Jaime Alguersuari;;
3;0;5;2:51.267;0;;52.826;0;59.902;0;58.539;0;72.6;17:05.854;10:47;0:52.826;0:59.902;0:58.539;;Jaime Alguersuari;;
3;0;6;1:42.601;2;;36.399;2;33.423;2;32.779;2;121.2;18:48.455;10:48;0:36.399;0:33.423;0:32.779;;Jaime Alguersuari;;
