,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
34,33,2,1:07.290,0,102.7,3:29.338,2020-11-10 12:23:29.338,Esteban GUTIERREZ,,,3,TECHEETAH,TECHEETAH,15.1667,24.4444,12.8748,62.0
35,33,3,1:02.597,2,110.4,4:31.935,2020-11-10 12:24:31.935,Esteban GUTIERREZ,,,3,TECHEETAH,TECHEETAH,15.1667,24.4444,13.67945,126.5
36,4,1,1:44.097,0,66.4,1:44.097,2020-11-10 12:21:44.097,Stéphane SARRAZIN,0:00:35.731,,3,Venturi Formula E Team,VENTURI,15.1667,24.4444,14.4841,191.0
37,4,2,1:06.121,2,104.5,2:50.218,2020-11-10 12:22:50.218,Stéphane SARRAZIN,,,3,Venturi Formula E Team,VENTURI,,,,
38,4,3,1:31.050,0,75.9,4:21.268,2020-11-10 12:24:21.268,Stéphane SARRAZIN,,,3,Venturi Formula E Team,VENTURI,15.1667,24.4444,13.67945,126.5
39,7,1,1:23.876,0,82.4,1:23.876,2020-11-10 12:21:23.876,Jérôme D'AMBROSIO,0:00:12.972,,3,Faraday Future Dragon Racing,FARADAY,15.1667,24.4444,14.4841,191.0
40,7,2,1:09.629,0,99.3,2:33.505,2020-11-10 12:22:33.505,Jérôme D'AMBROSIO,,,3,Faraday Future Dragon Racing,FARADAY,,,,
41,7,3,1:02.814,2,110.0,3:36.319,2020-11-10 12:23:36.319,Jérôme D'AMBROSIO,,,3,Faraday Future Dragon Racing,FARADAY,15.1667,24.4444,12.8748,62.0
42,88,1,1:35.838,0,72.1,1:35.838,2020-11-10 12:21:35.838,Oliver TURVEY,0:00:22.542,,3,NEXTEV NIO,NEXTEV,15.1667,24.4444,14.4841,191.0
43,88,2,1:09.822,0,99.0,2:45.660,2020-11-10 12:22:45.660,Oliver TURVEY,,,3,NEXTEV NIO,NEXTEV,,,,
44,88,3,1:02.384,2,110.8,3:48.044,2020-11-10 12:23:48.044,Oliver TURVEY,,,3,NEXTEV NIO,NEXTEV,15.1667,24.4444,12.8748,62.0
45,23,1,4:11.534,0,27.5,4:11.534,2020-11-10 12:34:11.534,Nick HEIDFELD,0:03:00.225,,4,Mahindra Racing,MAHINDRA,14.7222,25.5556,8.04672,207.0
46,23,2,1:17.094,0,89.7,5:28.628,2020-11-10 12:35:28.628,Nick HEIDFELD,,,4,Mahindra Racing,MAHINDRA,,,,
47,23,3,1:02.611,3,110.4,6:31.239,2020-11-10 12:36:31.239,Nick HEIDFELD,,,4,Mahindra Racing,MAHINDRA,14.7778,25.5556,6.43738,224.0
48,27,1,1:54.103,0,60.6,1:54.103,2020-11-10 12:31:54.103,Robin FRIJNS,0:00:38.268,,4,Andretti Formula E,ANDRETTI,14.6111,26.1111,3.21869,233.0
49,27,2,1:05.518,0,105.5,2:59.621,2020-11-10 12:32:59.621,Robin FRIJNS,,,4,Andretti Formula E,ANDRETTI,,,,
50,27,3,1:02.654,2,110.3,4:02.275,2020-11-10 12:34:02.275,Robin FRIJNS,,,4,Andretti Formula E,ANDRETTI,,,,
51,28,1,1:33.316,0,74.1,1:33.316,2020-11-10 12:31:33.316,Antonio Felix DA COSTA,0:00:20.431,,4,Andretti Formula E,ANDRETTI,14.6111,26.1111,3.21869,233.0
52,28,2,1:10.893,0,97.5,2:44.209,2020-11-10 12:32:44.209,Antonio Felix DA COSTA,,,4,Andretti Formula E,ANDRETTI,,,,
53,28,3,1:03.268,2,109.2,3:47.477,2020-11-10 12:33:47.477,Antonio Felix DA COSTA,,,4,Andretti Formula E,ANDRETTI,,,,
54,47,1,2:04.969,0,55.3,2:04.969,2020-11-10 12:32:04.969,Adam CARROLL,0:00:53.152,,4,Panasonic Jaguar Racing,JAGUAR,14.6111,26.1111,3.21869,233.0
55,47,2,1:09.429,0,99.6,3:14.398,2020-11-10 12:33:14.398,Adam CARROLL,,,4,Panasonic Jaguar Racing,JAGUAR,,,,
56,47,3,1:03.771,2,108.4,4:18.169,2020-11-10 12:34:18.169,Adam CARROLL,,,4,Panasonic Jaguar Racing,JAGUAR,,,,
57,5,1,1:31.153,0,75.8,1:31.153,2020-11-10 12:31:31.153,Tom DILLMANN,0:00:18.520,,4,Venturi Formula E Team,VENTURI,14.6111,26.1111,3.21869,233.0
58,5,2,1:10.135,0,98.6,2:41.288,2020-11-10 12:32:41.288,Tom DILLMANN,,,4,Venturi Formula E Team,VENTURI,,,,
59,5,3,1:03.024,2,109.7,3:44.312,2020-11-10 12:33:44.312,Tom DILLMANN,,,4,Venturi Formula E Team,VENTURI,,,,
