,NUMBER,LAP_NUMBER,LAP_TIME,LAP_IMPROVEMENT,KPH,ELAPSED,HOUR,DRIVER_NAME,PIT_TIME,CLASS,GROUP,TEAM,MANUFACTURER,AIR_TEMP,TRACK_TEMP,WIND_SPEED,WIND_DIRECTION
35,19,3,1:08.171,4,120.2,4:30.151,2020-11-10 12:24:30.151,Felix ROSENQVIST,,,3,Mahindra Racing,MAHINDRA,20.8333,47.7778,8.04672,282.5
36,20,1,3:46.026,0,36.3,3:46.026,2020-11-10 12:23:46.026,Mitch EVANS,0:02:16.209,,3,Panasonic Jaguar Racing,JAGUAR,20.8333,47.7778,8.04672,314.0
37,20,2,1:18.651,0,104.2,5:04.677,2020-11-10 12:25:04.677,Mitch EVANS,,,3,Panasonic Jaguar Racing,JAGUAR,20.8333,47.7778,8.04672,282.5
38,20,3,1:09.219,2,118.4,6:13.896,2020-11-10 12:26:13.896,Mitch EVANS,,,3,Panasonic Jaguar Racing,JAGUAR,20.80555,48.05555,9.65606,248.0
39,3,1,2:09.935,0,63.1,2:09.935,2020-11-10 12:22:09.935,Nelson PIQUET JR,0:00:50.031,,3,NEXTEV NIO,NEXTEV,20.8333,47.7778,8.04672,314.0
40,3,2,1:18.524,0,104.4,3:28.459,2020-11-10 12:23:28.459,Nelson PIQUET JR,,,3,NEXTEV NIO,NEXTEV,20.8333,47.7778,8.04672,314.0
41,3,3,1:08.961,2,118.9,4:37.420,2020-11-10 12:24:37.420,Nelson PIQUET JR,,,3,NEXTEV NIO,NEXTEV,20.8333,47.7778,8.04672,282.5
42,37,1,1:32.795,0,88.3,1:32.795,2020-11-10 12:21:32.795,José Maria LOPEZ,0:00:08.054,,3,DS Virgin Racing,VIRGIN,20.8333,47.7778,8.04672,251.0
43,37,2,1:18.719,0,104.1,2:51.514,2020-11-10 12:22:51.514,José Maria LOPEZ,,,3,DS Virgin Racing,VIRGIN,,,,
44,37,3,1:08.349,2,119.9,3:59.863,2020-11-10 12:23:59.863,José Maria LOPEZ,,,3,DS Virgin Racing,VIRGIN,20.8333,47.7778,8.04672,314.0
45,23,1,4:15.512,0,32.1,4:15.512,2020-11-10 12:34:15.512,Nick HEIDFELD,0:02:39.463,,4,Mahindra Racing,MAHINDRA,20.7778,47.7778,9.65606,5.0
46,23,2,1:20.789,0,101.5,5:36.301,2020-11-10 12:35:36.301,Nick HEIDFELD,,,4,Mahindra Racing,MAHINDRA,,,,
