NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;POWER;
11;1;1;1:30.318;0;;37.318;0;19.678;0;33.322;0;93.6;1:30.318;08:01:30.318;0:37.318;0:19.678;0:33.322;;Lucas DI GRASSI;0:00:06.905;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;2;1:24.118;0;;25.622;0;21.491;0;37.005;0;100.5;2:54.436;08:02:54.436;0:25.622;0:21.491;0:37.005;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;3;1:14.263;0;;24.629;0;18.277;0;31.357;0;113.8;4:08.699;08:04:08.699;0:24.629;0:18.277;0:31.357;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;4;1:38.666;0;;25.939;0;19.832;0;52.895;0;85.7;5:47.365;08:05:47.365;0:25.939;0:19.832;0:52.895;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;5;1:33.104;0;;41.060;0;18.990;0;33.054;0;90.8;7:20.469;08:07:20.469;0:41.060;0:18.990;0:33.054;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;6;1:11.823;0;;23.638;0;17.841;0;30.344;0;117.7;8:32.292;08:08:32.292;0:23.638;0:17.841;0:30.344;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;7;1:29.167;0;;28.241;0;24.777;0;36.149;0;94.8;10:01.459;08:10:01.459;0:28.241;0:24.777;0:36.149;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;8;1:11.357;0;;23.578;0;17.699;0;30.080;0;118.5;11:12.816;08:11:12.816;0:23.578;0:17.699;0:30.080;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;9;1:28.994;0;B;25.904;0;18.568;0;44.522;0;95.0;12:41.810;08:12:41.810;0:25.904;0:18.568;0:44.522;;Lucas DI GRASSI;;;;Audi Sport Abt Schaeffler Formula E Team;;;
11;1;10;17:34.089;0;;16:40.658;0;18.269;0;35.162;0;8.0;30:15.899;08:30:15.899;16:40.658;0:18.269;0:35.162;;Lucas DI GRASSI;0:16:25.890;;;Audi Sport Abt Schaeffler Formula E Team;;225;
